***	O
go	O
together	O
,	O
and	O
see	O
what	O
they	O
can	O
do	O
.	O

Accordingly	O
,	O
they	O
went	O
away	O
,	O
and	O
,	O
as	O
my	O
men	O
told	O
me	O
afterwards	O
,	O
they	O
searched	O
in	O
the	O
small	O
streams	O
of	O
water	O
which	O
they	O
found	O
running	O
,	O
and	O
in	O
some	O
larger	O
gulleys	O
or	O
channels	O
,	O
where	O
they	O
found	O
little	O
or	O
no	O
water	O
running	O
,	O
but	O
where	O
,	O
upon	O
hasty	O
rains	O
,	O
great	O
shoots	O
of	O
water	O
had	O
been	O
used	O
to	O
run	O
,	O
and	O
where	O
water	O
stood	O
still	O
in	O
the	O
holes	O
and	O
falls	O
,	O
as	O
I	O
have	O
described	O
once	O
before	O
on	O
the	O
like	O
occasion	O
.	O

They	O
had	O
not	O
been	O
gone	O
above	O
an	O
hour	O
,	O
when	O
I	O
plainly	O
heard	O
my	O
two	O
Englishmen	O
halloo	O
,	O
which	O
I	O
could	O
easily	O
distinguish	O
from	O
the	O
voices	O
of	O
any	O
other	O
nation	O
,	O
and	O
immediately	O
I	O
ran	O
out	O
of	O
the	O
tent	O
,	O
Captain	O
Merlotte	O
followed	O
,	O
and	O
then	O
I	O
saw	O
one	O
of	O
my	O
midshipmen	O
running	O
towards	O
us	O
,	O
so	O
we	O
went	O
to	O
meet	O
him	O
,	O
and	O
,	O
what	O
with	O
hallooing	O
and	O
running	O
,	O
he	O
could	O
hardly	O
speak	O
;	O
but	O
,	O
recovering	O
his	O
breath	O
,	O
said	O
,	O
he	O
came	O
to	O
desire	O
me	O
to	O
come	O
to	O
them	O
,	O
if	O
I	O
would	O
behold	O
a	O
sight	O
which	O
I	O
never	O
saw	O
in	O
my	O
life	O
.	O

I	O
was	O
eager	O
enough	O
to	O
go	O
,	O
so	O
I	O
went	O
with	O
him	O
,	O
and	O
left	O
Captain	O
Merlotte	O
to	O
go	O
back	O
to	O
the	O
tent	O
to	O
my	O
patron	O
,	O
the	O
Spaniard	O
,	O
and	O
the	O
Spanish	O
doctor	O
,	O
who	O
had	O
not	O
so	O
much	O
share	O
in	O
the	O
curiosity	O
;	O
he	O
did	O
so	O
,	O
and	O
they	O
followed	O
soon	O
after	O
.	O

When	O
we	O
came	O
to	O
the	O
place	O
,	O
we	O
saw	O
such	O
a	O
wonder	O
as	O
indeed	O
I	O
never	O
saw	O
before	O
,	O
for	O
there	O
they	O
were	O
sitting	O
down	O
round	O
a	O
little	O
puddle	O
,	O
or	O
hole	O
,	O
as	O
I	O
might	O
call	O
it	O
,	O
of	O
water	O
,	O
where	O
,	O
in	O
the	O
time	O
of	O
rain	O
,	O
the	O
water	O
running	O
hastily	O
from	O
a	O
piece	O
of	O
the	O
rock	O
,	O
about	O
two	O
foot	O
higher	O
than	O
the	O
rest	O
,	O
had	O
made	O
a	O
pit	O
under	O
it	O
with	O
the	O
fall	O
,	O
like	O
the	O
tail	O
of	O
a	O
mill	O
,	O
only	O
much	O
less	O
.	O

Here	O
they	O
took	O
up	O
the	O
sand	O
or	O
gravel	O
with	O
their	O
hands	O
,	O
and	O
every	O
handful	O
brought	O
up	O
with	O
it	O
such	O
a	O
quantity	O
of	O
gold	O
as	O
was	O
surprising	O
;	O
for	O
there	O
they	O
sat	O
picking	O
it	O
out	O
,	O
just	O
as	O
the	O
boys	O
in	O
London	PNM
,	O
who	O
go	O
with	O
a	O
broom	O
and	O
a	O
hat	O
,	O
pick	O
out	O
old	O
iron	O
,	O
nails	O
,	O
and	O
pins	O
from	O
the	O
channels	O
,	O
and	O
it	O
lay	O
as	O
thick	O
.	O

I	O
stood	O
and	O
looked	O
at	O
them	O
awhile	O
,	O
and	O
it	O
must	O
be	O
confessed	O
,	O
it	O
was	O
a	O
pleasant	O
sight	O
enough	O
;	O
but	O
,	O
reflecting	O
immediately	O
that	O
there	O
was	O
no	O
end	O
of	O
this	O
,	O
and	O
that	O
we	O
were	O
only	O
upon	O
the	O
enquiry	O
,	O
Come	O
away	O
,	O
said	O
I	O
,	O
laughing	O
to	O
my	O
men	O
,	O
and	O
do	O
not	O
stand	O
picking	O
up	O
of	O
trash	O
there	O
all	O
day	O
;	O
do	O
you	O
know	O
how	O
far	O
we	O
have	O
to	O
go	O
to	O
our	O
lodgings	O
?	O

I	O
can	O
make	O
no	O
guess	O
what	O
quantity	O
might	O
have	O
been	O
found	O
here	O
in	O
places	O
which	O
had	O
,	O
for	O
hundreds	O
of	O
years	O
,	O
washed	O
gold	O
from	O
the	O
hills	O
,	O
and	O
,	O
perhaps	O
,	O
never	O
had	O
a	O
man	O
come	O
to	O
pick	O
any	O
of	O
it	O
up	O
before	O
;	O
but	O
I	O
was	O
soon	O
satisfied	O
that	O
here	O
was	O
enough	O
,	O
even	O
to	O
make	O
all	O
the	O
world	O
say	O
they	O
had	O
enough	O
;	O
and	O
so	O
I	O
called	O
off	O
my	O
people	O
,	O
and	O
came	O
away	O
.	O

It	O
seems	O
,	O
the	O
quantity	O
of	O
gold	O
which	O
is	O
thus	O
washed	O
down	O
is	O
not	O
small	O
,	O
since	O
my	O
men	O
,	O
inquiring	O
afterwards	O
among	O
the	O
Chilians	O
,	O
heard	O
them	O
talk	O
of	O
the	O
great	O
lake	O
of	O
water	O
which	O
I	O
mentioned	O
just	O
now	O
that	O
we	O
saw	O
at	O
a	O
distance	O
,	O
which	O
they	O
call	O
the	O
Golden	PNM
Lake	PNM
,	O
and	O
where	O
was	O
,	O
as	O
they	O
said	O
,	O
prodigious	O
quantities	O
of	O
it	O
;	O
not	O
that	O
our	O
men	O
supposed	O
any	O
gold	O
was	O
there	O
in	O
mines	O
,	O
or	O
in	O
the	O
ordinary	O
soil	O
,	O
but	O
that	O
the	O
waters	O
from	O
the	O
hills	O
,	O
running	O
with	O
very	O
rapid	O
currents	O
at	O
certain	O
times	O
in	O
the	O
rainy	O
seasons	O
,	O
and	O
after	O
the	O
melting	O
of	O
the	O
snows	O
,	O
had	O
carried	O
the	O
gold	O
so	O
far	O
as	O
that	O
lake	O
;	O
and	O
,	O
as	O
it	O
has	O
been	O
so	O
,	O
perhaps	O
,	O
from	O
the	O
days	O
of	O
the	O
general	O
deluge	O
,	O
no	O
people	O
ever	O
applying	O
themselves	O
to	O
gather	O
the	O
least	O
grain	O
of	O
it	O
up	O
again	O
,	O
it	O
might	O
well	O
be	O
increased	O
to	O
such	O
a	O
quantity	O
as	O
might	O
entitle	O
that	O
water	O
to	O
the	O
name	O
of	O
the	O
Golden	O
Lake	O
,	O
and	O
all	O
the	O
little	O
streams	O
and	O
sluices	O
of	O
water	O
that	O
run	O
into	O
it	O
deserved	O
the	O
name	O
of	O
Golden	PNM
Rivers	PNM
,	O
as	O
much	O
as	O
that	O
of	O
the	O
Golden	PNM
Lake	PNM
.	O

But	O
my	O
present	O
business	O
was	O
to	O
know	O
only	O
if	O
the	O
gold	O
was	O
here	O
,	O
but	O
not	O
to	O
trouble	O
myself	O
to	O
pick	O
it	O
up	O
;	O
my	O
views	O
lay	O
another	O
way	O
,	O
and	O
my	O
end	O
was	O
fully	O
answered	O
,	O
so	O
I	O
came	O
back	O
to	O
my	O
patron	O
,	O
and	O
brought	O
all	O
my	O
men	O
with	O
me	O
.	O

You	O
live	O
in	O
a	O
golden	O
country	O
,	O
seignior	O
,	O
says	O
I	O
;	O
my	O
men	O
are	O
stark	O
mad	O
to	O
see	O
so	O
much	O
gold	O
,	O
and	O
nobody	O
to	O
take	O
it	O
.	O

Should	O
the	O
world	O
know	O
what	O
treasure	O
you	O
have	O
here	O
,	O
I	O
would	O
not	O
answer	O
for	O
it	O
that	O
they	O
should	O
not	O
flock	O
hither	O
in	O
armies	O
,	O
and	O
drive	O
you	O
all	O
away	O
.	O

They	O
need	O
not	O
do	O
that	O
,	O
seignior	O
,	O
says	O
he	O
,	O
for	O
here	O
is	O
enough	O
for	O
them	O
,	O
and	O
for	O
us	O
too	O
.	O

We	O
now	O
packed	O
up	O
,	O
and	O
began	O
our	O
return	O
;	O
but	O
it	O
was	O
not	O
without	O
regret	O
that	O
I	O
turned	O
my	O
back	O
upon	O
this	O
pleasant	O
country	O
,	O
the	O
most	O
agreeable	O
place	O
of	O
its	O
kind	O
that	O
ever	O
I	O
was	O
at	O
in	O
all	O
my	O
life	O
,	O
or	O
ever	O
shall	O
be	O
in	O
again	O
,	O
a	O
country	O
rich	O
,	O
pleasant	O
,	O
fruitful	O
,	O
wholesome	O
,	O
and	O
capable	O
of	O
everything	O
for	O
the	O
life	O
of	O
man	O
that	O
the	O
heart	O
could	O
entertain	O
a	O
wish	O
for	O
.	O

But	O
my	O
present	O
work	O
was	O
to	O
return	O
;	O
so	O
we	O
mounted	O
our	O
mules	O
,	O
and	O
had	O
,	O
in	O
the	O
meantime	O
,	O
the	O
pleasure	O
of	O
contemplating	O
what	O
we	O
had	O
seen	O
,	O
and	O
applying	O
ourselves	O
to	O
such	O
farther	O
measures	O
as	O
we	O
had	O
concerted	O
among	O
us	O
.	O

In	O
about	O
four	O
hours	O
we	O
returned	O
to	O
our	O
camp	O
,	O
as	O
I	O
called	O
it	O
,	O
and	O
,	O
by	O
the	O
way	O
,	O
we	O
found	O
,	O
to	O
our	O
no	O
little	O
pain	O
,	O
that	O
though	O
we	O
had	O
come	O
down	O
hill	O
easily	O
and	O
insensibly	O
to	O
the	O
opening	O
for	O
some	O
miles	O
,	O
yet	O
we	O
had	O
a	O
hard	O
pull	O
uphill	O
to	O
go	O
back	O
again	O
.	O

However	O
,	O
we	O
reached	O
to	O
our	O
tents	O
in	O
good	O
time	O
,	O
and	O
made	O
our	O
first	O
encampment	O
with	O
pleasure	O
enough	O
,	O
for	O
we	O
were	O
very	O
weary	O
with	O
the	O
fatigue	O
of	O
a	O
hard	O
day	O
's	O
journey	O
.	O

The	O
next	O
day	O
we	O
reached	O
our	O
good	O
Chilian	O
's	O
mansion-house	O
,	O
or	O
palace	O
,	O
for	O
such	O
it	O
might	O
be	O
called	O
,	O
considering	O
the	O
place	O
,	O
and	O
considering	O
the	O
entertainment	O
;	O
for	O
now	O
he	O
had	O
some	O
time	O
to	O
provide	O
for	O
us	O
,	O
knowing	O
we	O
would	O
come	O
back	O
again	O
.	O

He	O
met	O
us	O
with	O
three	O
mules	O
,	O
and	O
two	O
servants	O
,	O
about	O
a	O
mile	O
before	O
we	O
came	O
to	O
the	O
descent	O
going	O
down	O
to	O
his	O
house	O
,	O
of	O
which	O
I	O
took	O
notice	O
before	O
,	O
and	O
this	O
he	O
did	O
to	O
guide	O
us	O
a	O
way	O
round	O
to	O
his	O
house	O
without	O
going	O
down	O
those	O
uneasy	O
steps	O
;	O
so	O
we	O
came	O
on	O
our	O
mules	O
to	O
his	O
door	O
,	O
that	O
is	O
to	O
say	O
,	O
on	O
his	O
mules	O
,	O
for	O
he	O
would	O
have	O
my	O
patron	O
,	O
the	O
Spaniard	O
,	O
to	O
whom	O
I	O
observed	O
he	O
showed	O
an	O
extraordinary	O
respect	O
,	O
and	O
Captain	O
Merlotte	O
and	O
myself	O
,	O
mount	O
his	O
fresh	O
mules	O
to	O
carry	O
us	O
to	O
his	O
house	O
.	O

When	O
we	O
came	O
thither	O
,	O
I	O
observed	O
he	O
wanted	O
the	O
assistance	O
of	O
my	O
patron	O
's	O
servants	O
for	O
his	O
cookery	O
;	O
for	O
,	O
though	O
he	O
had	O
provided	O
abundance	O
of	O
food	O
,	O
he	O
owned	O
he	O
knew	O
not	O
how	O
to	O
prepare	O
it	O
to	O
our	O
liking	O
,	O
so	O
they	O
assisted	O
him	O
,	O
and	O
one	O
of	O
my	O
midshipmen	O
pretending	O
to	O
cook	O
too	O
,	O
made	O
them	O
roast	O
a	O
piece	O
of	O
venison	O
,	O
and	O
a	O
piece	O
of	O
kid	O
,	O
or	O
young	O
goat	O
,	O
admirable	O
well	O
,	O
and	O
putting	O
no	O
garlick	O
or	O
onions	O
into	O
the	O
sauce	O
,	O
but	O
their	O
own	O
juices	O
,	O
with	O
a	O
little	O
wine	O
,	O
it	O
pleased	O
the	O
Spaniard	O
so	O
well	O
,	O
that	O
my	O
man	O
passed	O
for	O
an	O
extraordinary	O
cook	O
,	O
and	O
had	O
the	O
favour	O
asked	O
of	O
him	O
to	O
dress	O
some	O
more	O
after	O
the	O
same	O
manner	O
,	O
when	O
we	O
came	O
back	O
to	O
the	O
Spaniard	O
's	O
house	O
.	O

We	O
had	O
here	O
several	O
sorts	O
of	O
wildfowl	O
,	O
which	O
the	O
Chilian	O
had	O
shot	O
while	O
we	O
were	O
gone	O
,	O
but	O
I	O
knew	O
none	O
of	O
them	O
by	O
any	O
of	O
the	O
kinds	O
we	O
have	O
in	O
England	PNM
,	O
except	O
some	O
teal	O
.	O

However	O
,	O
they	O
were	O
very	O
good	O
.	O

The	O
day	O
was	O
agreeable	O
and	O
pleasant	O
,	O
but	O
the	O
night	O
dreadful	O
,	O
as	O
before	O
,	O
being	O
all	O
fire	O
and	O
flame	O
again	O
,	O
and	O
though	O
we	O
understood	O
both	O
what	O
it	O
was	O
,	O
and	O
where	O
,	O
yet	O
I	O
could	O
not	O
make	O
it	O
familiar	O
to	O
me	O
,	O
for	O
my	O
life	O
.	O

The	O
Chilian	O
persuaded	O
us	O
to	O
stay	O
all	O
the	O
next	O
day	O
,	O
and	O
did	O
his	O
endeavour	O
to	O
divert	O
us	O
as	O
much	O
as	O
possible	O
;	O
my	O
two	O
midshipmen	O
went	O
out	O
with	O
him	O
a-hunting	O
,	O
as	O
he	O
called	O
it	O
,	O
that	O
is	O
,	O
a-shooting	O
;	O
but	O
,	O
though	O
he	O
was	O
a	O
man	O
of	O
fifty	O
years	O
of	O
age	O
,	O
he	O
would	O
have	O
killed	O
ten	O
of	O
them	O
at	O
his	O
sport	O
,	O
running	O
up	O
the	O
hills	O
,	O
and	O
leaping	O
from	O
rock	O
to	O
rock	O
like	O
a	O
boy	O
of	O
seventeen	O
.	O

At	O
his	O
gun	O
he	O
was	O
so	O
sure	O
a	O
marksman	O
,	O
that	O
he	O
seldom	O
missed	O
anything	O
he	O
shot	O
at	O
,	O
whether	O
running	O
,	O
flying	O
,	O
or	O
sitting	O
.	O

They	O
brought	O
home	O
with	O
them	O
several	O
fowls	O
,	O
two	O
fawns	O
,	O
and	O
a	O
full-grown	O
deer	O
,	O
and	O
we	O
had	O
nothing	O
but	O
boiling	O
,	O
stewing	O
,	O
and	O
broiling	O
,	O
all	O
that	O
evening	O
.	O

In	O
the	O
afternoon	O
we	O
walked	O
out	O
to	O
view	O
the	O
hills	O
,	O
and	O
to	O
see	O
the	O
stupendous	O
precipices	O
which	O
surrounded	O
us	O
.	O

As	O
for	O
looking	O
for	O
gold	O
,	O
we	O
saw	O
the	O
places	O
where	O
there	O
was	O
enough	O
to	O
be	O
had	O
,	O
but	O
that	O
was	O
become	O
now	O
so	O
familiar	O
to	O
us	O
,	O
that	O
we	O
troubled	O
not	O
ourselves	O
about	O
it	O
,	O
as	O
a	O
business	O
not	O
worth	O
our	O
while	O
;	O
but	O
the	O
two	O
midshipmen	O
,	O
I	O
think	O
,	O
got	O
about	O
the	O
quantity	O
of	O
five	O
or	O
six	O
ounces	O
apiece	O
,	O
while	O
we	O
were	O
chatting	O
or	O
reposing	O
in	O
the	O
Chilian	O
's	O
house	O
.	O

Here	O
it	O
was	O
that	O
I	O
entered	O
into	O
a	O
confidence	O
with	O
my	O
patron	O
,	O
the	O
Spaniard	O
,	O
concerning	O
my	O
grand	O
design	O
.	O

I	O
told	O
him	O
,	O
in	O
the	O
first	O
place	O
,	O
that	O
my	O
view	O
of	O
the	O
open	O
country	O
beyond	O
these	O
hills	O
,	O
and	O
the	O
particular	O
account	O
he	O
had	O
given	O
me	O
of	O
it	O
also	O
,	O
had	O
raised	O
a	O
curiosity	O
in	O
me	O
that	O
I	O
could	O
scarce	O
withstand	O
;	O
and	O
that	O
I	O
had	O
thereupon	O
formed	O
a	O
design	O
,	O
which	O
,	O
if	O
he	O
would	O
farther	O
me	O
with	O
his	O
assistance	O
,	O
I	O
had	O
a	O
very	O
great	O
mind	O
to	O
put	O
in	O
practice	O
,	O
and	O
that	O
,	O
though	O
I	O
was	O
to	O
hazard	O
perishing	O
in	O
the	O
attempt	O
.	O

He	O
told	O
me	O
very	O
readily	O
,	O
nothing	O
should	O
be	O
wanting	O
on	O
his	O
part	O
to	O
give	O
me	O
any	O
assistance	O
he	O
could	O
,	O
either	O
by	O
himself	O
or	O
any	O
of	O
his	O
servants	O
;	O
but	O
,	O
smiling	O
,	O
and	O
with	O
abundance	O
of	O
good	O
humour	O
,	O
Seignior	O
,	O
says	O
he	O
,	O
I	O
believe	O
I	O
guess	O
at	O
the	O
design	O
you	O
speak	O
of	O
;	O
you	O
are	O
fired	O
now	O
with	O
a	O
desire	O
to	O
traverse	O
this	O
great	O
country	O
to	O
the	O
Coasta	PNM
Deserta	PNM
and	O
the	O
North	PNM
Seas	PNM
;	O
that	O
is	O
a	O
very	O
great	O
undertaking	O
,	O
and	O
you	O
will	O
be	O
well	O
advised	O
before	O
you	O
undertake	O
it	O
.	O

True	O
,	O
Seignior	O
,	O
said	O
I	O
,	O
you	O
have	O
guessed	O
my	O
design	O
,	O
and	O
,	O
were	O
it	O
not	O
that	O
I	O
have	O
two	O
ships	O
under	O
my	O
care	O
,	O
and	O
some	O
cargo	O
of	O
value	O
on	O
board	O
,	O
I	O
would	O
bring	O
my	O
whole	O
ship	O
's	O
company	O
on	O
shore	O
,	O
and	O
make	O
the	O
adventure	O
,	O
and	O
,	O
perhaps	O
,	O
we	O
might	O
be	O
strong	O
enough	O
to	O
defend	O
ourselves	O
against	O
whatever	O
might	O
happen	O
by	O
the	O
way	O
.	O

As	O
to	O
that	O
,	O
seignior	O
,	O
says	O
he	O
,	O
you	O
would	O
be	O
in	O
no	O
danger	O
that	O
would	O
require	O
so	O
many	O
men	O
;	O
for	O
you	O
will	O
find	O
but	O
few	O
inhabitants	O
anywhere	O
,	O
and	O
those	O
not	O
in	O
numbers	O
sufficient	O
to	O
give	O
you	O
any	O
trouble	O
;	O
fifty	O
men	O
would	O
be	O
as	O
many	O
as	O
you	O
would	O
either	O
want	O
or	O
desire	O
,	O
and	O
,	O
perhaps	O
,	O
as	O
you	O
would	O
find	O
provisions	O
for	O
;	O
and	O
,	O
for	O
fifty	O
men	O
,	O
we	O
might	O
be	O
able	O
to	O
carry	O
provisions	O
with	O
us	O
to	O
keep	O
them	O
from	O
distress	O
.	O

But	O
,	O
if	O
you	O
will	O
accept	O
of	O
my	O
advice	O
,	O
as	O
well	O
as	O
assistance	O
,	O
seignior	O
,	O
says	O
he	O
,	O
choose	O
a	O
faithful	O
strong	O
fellow	O
out	O
of	O
your	O
ship	O
on	O
whom	O
you	O
can	O
depend	O
,	O
and	O
give	O
him	O
fifty	O
men	O
with	O
him	O
,	O
or	O
thereabouts	O
,	O
and	O
such	O
instructions	O
as	O
you	O
may	O
find	O
needful	O
,	O
as	O
to	O
the	O
place	O
on	O
the	O
coast	O
where	O
you	O
would	O
have	O
them	O
fix	O
their	O
stay	O
,	O
and	O
let	O
them	O
take	O
the	O
first	O
hazards	O
of	O
the	O
adventure	O
;	O
and	O
,	O
as	O
you	O
are	O
going	O
round	O
by	O
sea	O
,	O
you	O
will	O
,	O
if	O
success	O
follows	O
,	O
meet	O
them	O
on	O
the	O
shore	O
,	O
and	O
if	O
the	O
account	O
they	O
give	O
of	O
their	O
journey	O
encourage	O
you	O
,	O
you	O
may	O
come	O
afterwards	O
yourself	O
up	O
to	O
these	O
very	O
mountains	O
,	O
and	O
take	O
a	O
farther	O
view	O
;	O
in	O
which	O
case	O
,	O
he	O
added	O
,	O
with	O
a	O
solemn	O
protestation	O
,	O
cost	O
me	O
what	O
it	O
will	O
,	O
I	O
will	O
come	O
and	O
meet	O
you	O
one	O
hundred	O
miles	O
beyond	O
the	O
hills	O
,	O
with	O
supplies	O
of	O
provisions	O
and	O
mules	O
for	O
your	O
assistance	O
.	O

This	O
was	O
such	O
wholesome	O
and	O
friendly	O
advice	O
,	O
and	O
he	O
offered	O
it	O
so	O
sincerely	O
,	O
that	O
though	O
it	O
was	O
very	O
little	O
differing	O
from	O
my	O
own	O
design	O
,	O
yet	O
I	O
would	O
not	O
be	O
seen	O
so	O
to	O
lessen	O
his	O
prudence	O
in	O
the	O
measures	O
of	O
his	O
friendship	O
in	O
advising	O
it	O
,	O
as	O
to	O
say	O
that	O
I	O
had	O
resolved	O
to	O
do	O
so	O
;	O
but	O
making	O
all	O
possible	O
acknowledgment	O
to	O
him	O
for	O
his	O
kind	O
offers	O
,	O
I	O
told	O
him	O
I	O
would	O
take	O
his	O
advice	O
,	O
and	O
act	O
just	O
according	O
to	O
the	O
measures	O
he	O
had	O
prescribed	O
;	O
and	O
,	O
at	O
the	O
same	O
time	O
I	O
assured	O
him	O
,	O
that	O
if	O
I	O
found	O
a	O
convenient	O
port	O
to	O
settle	O
and	O
fortify	O
in	O
,	O
I	O
would	O
not	O
fail	O
to	O
come	O
again	O
from	O
France	PNM
-LRB-	O
for	O
we	O
passed	O
always	O
as	O
acting	O
from	O
France	PNM
,	O
whatever	O
nation	O
we	O
were	O
of	O
-RRB-	O
to	O
relieve	O
and	O
supply	O
them	O
;	O
and	O
that	O
,	O
if	O
ever	O
I	O
returned	O
safe	O
,	O
I	O
would	O
not	O
fail	O
to	O
correspond	O
with	O
him	O
,	O
by	O
the	O
passages	O
of	O
the	O
mountains	O
,	O
and	O
make	O
a	O
better	O
acknowledgment	O
for	O
his	O
kindness	O
than	O
I	O
had	O
been	O
able	O
to	O
do	O
yet	O
.	O

He	O
was	O
going	O
to	O
break	O
off	O
the	O
discourse	O
upon	O
the	O
occasion	O
of	O
the	O
Chilian	O
's	O
returning	O
,	O
who	O
was	O
just	O
come	O
in	O
from	O
his	O
hunting	O
,	O
telling	O
me	O
,	O
he	O
would	O
talk	O
farther	O
of	O
it	O
by	O
the	O
way	O
;	O
but	O
I	O
told	O
him	O
I	O
could	O
not	O
quite	O
dismiss	O
the	O
subject	O
,	O
because	O
I	O
must	O
bespeak	O
him	O
to	O
make	O
some	O
mention	O
of	O
it	O
to	O
the	O
Chilian	O
,	O
that	O
he	O
might	O
,	O
on	O
his	O
account	O
,	O
be	O
an	O
assistant	O
to	O
our	O
men	O
,	O
as	O
we	O
saw	O
he	O
was	O
capable	O
of	O
being	O
,	O
in	O
their	O
passing	O
by	O
those	O
difficult	O
ways	O
,	O
and	O
for	O
their	O
supply	O
of	O
provisions	O
,	O
&	O
c.	O
Trouble	O
not	O
yourself	O
with	O
that	O
,	O
seignior	O
,	O
said	O
he	O
,	O
for	O
when	O
your	O
men	O
come	O
,	O
the	O
care	O
shall	O
be	O
mine	O
;	O
I	O
will	O
come	O
myself	O
as	O
far	O
as	O
this	O
wealthy	O
Chilian	O
's	O
,	O
and	O
procure	O
them	O
all	O
the	O
assistance	O
this	O
place	O
can	O
afford	O
them	O
,	O
and	O
do	O
anything	O
that	O
offers	O
to	O
forward	O
them	O
in	O
the	O
undertaking	O
.	O

This	O
was	O
so	O
generous	O
,	O
and	O
so	O
extraordinary	O
,	O
that	O
I	O
had	O
nothing	O
to	O
say	O
more	O
,	O
but	O
to	O
please	O
myself	O
with	O
the	O
apparent	O
success	O
of	O
my	O
attempt	O
,	O
and	O
acknowledge	O
the	O
happiness	O
of	O
having	O
an	O
opportunity	O
to	O
oblige	O
so	O
generous	O
,	O
spirited	O
,	O
and	O
grateful	O
a	O
person	O
.	O

I	O
would	O
,	O
however	O
,	O
have	O
made	O
some	O
farther	O
acknowledgment	O
to	O
our	O
Chilian	O
benefactor	O
,	O
but	O
I	O
had	O
nothing	O
left	O
,	O
except	O
a	O
couple	O
of	O
hats	O
,	O
and	O
three	O
pair	O
of	O
English	O
stockings	O
,	O
one	O
pair	O
silk	O
and	O
the	O
other	O
two	O
worsted	O
,	O
and	O
those	O
I	O
gave	O
him	O
,	O
and	O
made	O
him	O
a	O
great	O
many	O
acknowledgments	O
for	O
the	O
favours	O
he	O
had	O
shown	O
us	O
,	O
and	O
the	O
next	O
morning	O
came	O
away	O
.	O

We	O
made	O
little	O
stay	O
anywhere	O
else	O
in	O
our	O
return	O
;	O
but	O
,	O
making	O
much	O
such	O
stages	O
back	O
as	O
we	O
did	O
forward	O
,	O
we	O
came	O
the	O
fourteenth	O
day	O
to	O
our	O
patron	O
's	O
house	O
,	O
having	O
made	O
the	O
passage	O
through	O
in	O
something	O
less	O
than	O
sixteen	O
days	O
,	O
and	O
the	O
like	O
back	O
in	O
fifteen	O
days	O
,	O
including	O
our	O
stay	O
at	O
the	O
Chilian	O
's	O
,	O
one	O
day	O
.	O

The	O
length	O
of	O
the	O
way	O
,	O
according	O
to	O
the	O
best	O
of	O
my	O
calculations	O
,	O
I	O
reckoned	O
to	O
be	O
about	O
one	O
hundred	O
and	O
seventy-five	O
English	O
miles	O
,	O
taking	O
it	O
with	O
all	O
its	O
windings	O
and	O
turnings	O
,	O
which	O
were	O
not	O
a	O
few	O
,	O
but	O
which	O
had	O
this	O
conveniency	O
with	O
them	O
,	O
that	O
they	O
gave	O
a	O
more	O
easy	O
and	O
agreeable	O
passage	O
,	O
and	O
made	O
the	O
English	O
proverb	O
abundantly	O
good	O
,	O
namely	O
,	O
that	O
the	O
farthest	O
way	O
about	O
is	O
the	O
nearest	O
way	O
home	O
.	O

The	O
civilities	O
I	O
received	O
after	O
this	O
from	O
my	O
generous	O
Spaniard	O
were	O
agreeable	O
to	O
the	O
rest	O
of	O
his	O
usage	O
of	O
me	O
;	O
but	O
we	O
,	O
that	O
had	O
so	O
great	O
a	O
charge	O
upon	O
us	O
at	O
the	O
sea-side	O
,	O
could	O
not	O
spare	O
long	O
time	O
in	O
those	O
ceremonies	O
,	O
any	O
more	O
than	O
I	O
do	O
now	O
for	O
relating	O
them	O
.	O

It	O
is	O
enough	O
to	O
mention	O
,	O
that	O
he	O
would	O
not	O
be	O
excused	O
,	O
at	O
parting	O
,	O
from	O
going	O
back	O
with	O
us	O
quite	O
to	O
the	O
ships	O
,	O
and	O
when	O
I	O
would	O
have	O
excused	O
it	O
,	O
he	O
said	O
,	O
Nay	O
,	O
seignior	O
,	O
give	O
me	O
leave	O
to	O
go	O
and	O
fetch	O
my	O
hostages	O
.	O

In	O
short	O
,	O
there	O
was	O
no	O
resisting	O
him	O
,	O
so	O
we	O
went	O
all	O
together	O
,	O
after	O
staying	O
two	O
days	O
more	O
at	O
his	O
house	O
,	O
and	O
came	O
all	O
safe	O
to	O
our	O
ships	O
,	O
having	O
been	O
gone	O
forty-six	O
days	O
from	O
them	O
.	O

We	O
found	O
the	O
ship	O
in	O
very	O
good	O
condition	O
,	O
all	O
safe	O
on	O
board	O
,	O
and	O
well	O
,	O
except	O
that	O
the	O
men	O
seemed	O
to	O
have	O
contracted	O
something	O
of	O
the	O
scurvy	O
,	O
which	O
our	O
Spanish	O
doctor	O
,	O
however	O
,	O
soon	O
recovered	O
them	O
from	O
.	O

Here	O
we	O
found	O
the	O
two	O
Spanish	O
youths	O
,	O
our	O
patron	O
's	O
hostages	O
,	O
very	O
well	O
also	O
,	O
and	O
very	O
well	O
pleased	O
with	O
their	O
entertainment	O
;	O
one	O
of	O
our	O
lieutenants	O
had	O
been	O
teaching	O
them	O
navigation	O
,	O
and	O
something	O
of	O
the	O
mathematics	O
,	O
and	O
they	O
made	O
very	O
good	O
improvement	O
in	O
those	O
studies	O
,	O
considering	O
the	O
time	O
they	O
had	O
been	O
there	O
;	O
and	O
the	O
Spaniard	O
,	O
their	O
father	O
,	O
was	O
so	O
pleased	O
with	O
it	O
